original,translation
Установка анлокера...,正在安装解锁器...
Установка завершена,安装完成
Установка игр (NAND),安装游戏 (NAND)
Установка игр (SD Card),安装游戏 (SD 卡)
Установка игры завершена,游戏安装完成
Установка обновлений игр,安装游戏更新
Установка прервана,安装已中止
Установка с картриджа,从卡带安装
Установка тайтлов ({}/{}),正在安装标题 ({}/{})
Установка через DBIbackend,通过 DBIbackend 安装
USB Соединение,USB 连接
Установка ярлыка...,正在安装快捷方式...
Установлен,已安装
Установленные,已安装
Установленные homebrew,已安装的自制软件
Установленные homebrew ({}),已安装的自制软件 ({})
Установленные игры,已安装的游戏
Установленные тикеты,已安装的凭证
Установленные тикеты ({}),已安装的凭证 ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,文件已损坏，无法安装。未找到 HEAD 签名
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,文件已损坏，无法安装。在根分区中未找到 HFS0 签名
Wireless LAN MAC адрес: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},无线局域网 MAC 地址: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,文件已损坏，无法安装。在安全分区中未找到 HFS0 签名
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,文件已损坏，无法安装。未找到 PFS0 签名
Файл слишком большой для хранилища,文件对于存储来说太大
Файл: {},文件: {}
Фиксация ФС...,提交文件系统...
Финальный размер: {},最终大小：{}
Формирование списка...,正在生成列表...
Форсированный язык    : {},强制语言    : {}
Форсированный язык    : {} ({}),强制语言    : {} ({})
  Автоопределение,  自动检测
Форсировано вклчение USB 3.0: {},强制启用 USB 3.0: {}
Форсировать UTF-8,强制 UTF-8
Форсировать язык,强制语言
Французский,法语
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, RC:{}"
Хранилища MTP,MTP 存储
Хранилище только для чтения,只读存储
Хэш версии              : {},版本哈希              : {}
Целевая запись о контенте не найдена,未找到目标内容记录
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,部分内容缺失。游戏将无法运行
Число транзисторов: {:>3},晶体管数量： {:>3}
Число уникальных сыграных игр : {},玩过的独特游戏数 : {}
Число ходов:        {:>3},移动次数：        {:>3}
Читать дату файлов,读取文件日期
Чтение каталога...,正在读取目录...
Чтение списка файлов...,正在读取文件列表...
Что-то плохое грядёт,不好的事情即将发生
Что-то пошло не так. Пропускаем оставшийся файл,出现问题。正在跳过剩余文件
"Чтобы вернуться, нажмите B",按 B 返回
Шадок у Гиби,吉比的影子
Шифрование секции ,正在加密分区
Экзосфера очищает CAL0      : {},Exosphere 清除 CAL0      : {}
Экран                 : ({:08X}) {},屏幕                 : ({:08X}) {}
Экспорт SDK,导出 SDK
Экспортировать,导出
Экспортировать SDK,导出 SDK
Это действие будет нельзя отменить,此操作无法撤销
Язык                    : {},语言                    : {}
Январь,一月
Японский,日语
Ярлык   : ,标签   :
Ярлык для DBI,DBI 快捷方式
"больше шансов, что оно заработает». Их",机会就越大’。他们的
быстро проникли в планы шадоков и,他们很快就识破了沙多克人的计划，
"всякий раз, когда растение расцветает",每当有植物开花
"выражениях: «Чем больше неудач, тем",‘失败越多，成功的
"вычислили, что у них есть по крайней",计算出，他们至少有
да,是
заработает… И они торопятся поскорее,成功……所以他们急于
"и дает транзистор, они мчатся, чтобы",并结出晶体管时，他们就冲过去
"и не кончилось успехом». Или, в других",而最终不成功’。或者，换句话说：
"мере один шанс из миллиона, что она",百万分之一的机会让它
миллионная заработает».,第一百万次会成功。”
не является LFS папкой,不是 LFS 文件夹
не является LFS папкой игры,不是游戏的 LFS 文件夹
нет,否
"ничего, что бы непрерывно продолжалось",什么事情会一直持续下去
"но окружили его со всех сторон, и",但从四面八方包围了他，
"опытов, чтобы быть уверенными, что",试验，以确保
осуществить 999999 первых неудачных,尽快完成前999999次失败的
"очень умные благодаря своим шляпам,",因为戴着帽子而非常聪明，
"планету гиби искать транзисторы. Гиби,",吉比星球寻找晶体管。吉比人
постоянно кончаясь неудачами.,但总是以失败告终。
принципов шадокской логики: «Нет,一个基本原则：‘没有
"ракета еще несовершенна, но они",火箭还不完美，但他们
"растений, произрастающих на огородах.",植物上收集晶体管的。
решили позабавиться. Они позволили,并决定找点乐子。他们允许
"ZL/ZR - смена даты, Y - период","ZL/ZR - 更改日期, Y - 周期"
собрать урожай прежде шадока.,在沙多克人之前抢先收割。
"терпят неудачу потому, что не хватает",失败是因为安全系统中
транзисторов в системах безопасности.,缺少晶体管。
"шадоку забраться в один из их огородов,",沙多克人进入他们的一个菜园，
"Получено: {}, (скорость не определена)","已接收: {}, (速度未定)"
Игры добавлены в список исключений,游戏已添加到排除列表
Новых игр в список исключений добавлено не было,未添加新游戏到排除列表
"Интервал автобекапа сейвов, дни",存档自动备份间隔(天)
Просмотр МТР устройства [{}],查看 MTP 设备 [{}]
Просмотр USB диска [{}],查看 USB 磁盘 [{}]
Заряд батареи (сырое значение) : {},电池电量（原始值） : {}
ru,zh
Конфигурация зарядки            : {},充电配置 : {}
Режим Hi-Z включён              : {},Hi-Z 模式已启用 : {}
Зарядка батареи включена        : {},电池充电已启用 : {}
Маршрут электропитания          : {},电源路径 : {}
Напряжение источника            : {} mV,源电压 : {} mV
Ток источника                   : {} mA,源电流 : {} mA
Быстрая зарядка разрешена       : {},允许快速充电 : {}
[CRC ОШИБКА ФАЙЛА],[文件 CRC 错误]
Целевая прошивка            : {}.{}.{},目标固件 : {}.{}.{}
Поддерживаемая версия HOS   : {},支持的 HOS 版本 : {}
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,将从文件 {} 下载并安装系统固件。\n\n按 (+) 继续\n按其他键取消
Распаковка архива не удалась,解压归档失败
Сканирование архива не удалось,扫描归档失败
Установить все обновления из этой папки,安装此文件夹中的所有更新
Япония,日本
Русский,俄语
Февраль,二月
Октябрь,十月
[HASH MISMATCH: GC ➡ eShop],[哈希不符: GC -> eShop]
Ноябрь,十一月
 {} минут,{} 分钟
Игрок,玩家
Время,时间
Язык    : ,语言    :
Контент,内容
[HASH: OK],[HASH: OK]
Красная,红色
Путь    : ,路径    :
  Жак Руксель. Великолепие навыворот.,  雅克·鲁克塞尔。《反向的辉煌》。
[HASH MISMATCH: Неисправимо],[哈希不匹配：无法修复]
[ПРЕД],[警告]
Альбом,相册
Выход,退出
и т.д...,等等...
{} бекап,{} 备份
874,874
Пишется тело: {}/{}MB \r,写入主体: {}/{}MB \r
Пишется скриншот\n,写入截图\n
Пишется таблица хешей\n,写入哈希表\n
Пишется подпись видео\n,写入视频签名\n
Операция завершена\n,操作完成\n
Предел входного тока (буст)     : {} mA,输入电流限制 (Boost) : {} mA
Предел тока быстрой зарядки     : {} mA,快速充电电流限制 : {} mA
Напряжение батареи              : {} mV,电池电压 : {} mV
Контроллер источника получен    : {},已接收源控制器 : {}
OTG Запрошен                    : {},OTG 已请求 : {}
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",将从文件 {} 下载并安装系统固件。\n\n注意！！！当前 Atmosphere 似乎不支持此版本。\n\n按 (+) 继续\n按其他键取消
Копирование файла не удалось,文件复制失败
Daybreak.nro не найден,未找到 Daybreak.nro
Изображение добавлено в альбом,图片已添加到相册
Ошибка добавления изобржения в альбом: {},添加图片到相册出错: {}
Добавить в альбом,添加到相册
Анализ mp4 файла,分析 mp4 文件
Длительность: {},时长: {}
ОШИБКА! Файл не содержит один видео трек,错误！文件不包含单个视频轨道
ОШИБКА! Файл не содержит один аудио трек,错误！文件不包含单个音频轨道
ОШИБКА! У видео трека неподдерживаемый кодек,错误！视频轨道编码不受支持
ОШИБКА! У аудио трека неподдерживаемый кодек,错误！音频轨道编码不受支持
ОШИБКА! Аудио трек не стерео,错误！音频轨道非立体声
[{}] Общий тикет для {},[{}] {} 的通用凭证
ОШИБКА! У аудио трека неподходящая частота дискретизации,错误！音频采样率不合适
ОШИБКА! У видео трека неподходящая ширина,错误！视频宽度不合适
ОШИБКА! У видео трека неподходящая высота,错误！视频高度不合适
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,注意！视频流可能包含 B-Frames。文件可能无法播放
"Похоже, это не MP4 файл",似乎不是 MP4 文件
Открыть как RomFS,作为 RomFS 打开
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,您的 SD 卡是伪造的。建议将 SD 卡更换为经过验证的卡。
[{}] Персональный тикет для {},[{}] {} 的个人凭证
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,您的 SD 卡似乎是伪造的。\n\n安装游戏时可能会遇到问题。\n在这种情况下，建议将 SD 卡更换为经过验证的卡。
Информация о SD карте,SD 卡信息
Производитель    : {:s} ({:02X}),制造商    : {:s} ({:02X})
OEM ID           : {:s} ({:s}),OEM ID           : {:s} ({:s})
Имя продукта     : {:s},产品名称         : {:s}
Ревизия продукта : {:s},产品修订版本 : {:s}
Серийный номер   : {:s},序列号   : {:s}
[ПОДПИСЬ: DBI],[签名: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    游戏时间    [32;1m{:02}:{:02}:{:02}[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR 更改日期, Y 周期, X 排序, (+) 选择用户"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB / {}MB ({:.2f} MB/s)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X 选择, Y 反选, (+) 菜单, R3 排序, L3 启动"
Создать все известные ({}),创建所有已知 ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X 选择, Y 反选, (+) 菜单, L3 启动"
"DPAD или стики для перемещения, (+) Настройки",DPAD或摇杆移动，(+) 设置
Просмотр HTTP/FTP/Github сервера...,正在查看 HTTP/FTP/Github 服务器...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X 选择, Y 反向选择, (+) 菜单, R3 排序"
"X выбор, Y обр. выбор, (+) меню",X 选择，Y 反向选择，(+) 菜单
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню",X 选择，Y 反选，A 打开，(-) 第二面板，(+) 菜单
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X 选择, Y 反向选择, ⬅/➡ 切换面板, (-) 关闭, (+) 菜单"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[不需要增量片段]
[КОНТЕНТ ОТСУТСТВУЕТ],[内容缺失]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[无法创建占位符]
[НЕДОСТАТОЧНО МЕСТА],[空间不足]
  Кодировка...,  编码...
[НЕИЗВЕСТНОЕ СЖАТИЕ],[未知压缩]
[ОТСУТСТВУЕТ],[缺失]
[ОШБК],[错误]
[ОШИБКА NCA MAGIC],[NCA MAGIC 错误]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[写入占位符时出错]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ZSTD 解包错误：{}]
[ОШИБКА РАСПАКОВКИ],[解包错误]
[ОШИБКА],[错误]
[ОШИБКА] Отсутствует URL списка обновлений,[错误] 缺少更新列表 URL
[ПЕРЕДАЧА OK],[传输正常]
  Применить,  应用
[ПЕРЕДАЧА ПРЕРВАНА],[传输中断]
[ПОВРЕЖДЁННЫЙ NCA],[损坏的 NCA]
[ПОДПИСЬ: OK],[签名：正常]
[ПОДПИСЬ: XCI➡NSP],[签名：XCI➡NSP]
[ПОДПИСЬ: Поддельная],[签名：伪造]
[СТАРАЯ ПРОШИВКА],[旧固件]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[需要标题模式]
[ФАЙЛ ПОВРЕЖДЁН],[文件已损坏]
[ХЕШ ИСПРАВЛЕН],[哈希已修复]
  Редактирование,  编辑
[ХЕШ НЕ СОВПАДАЕТ],[哈希不匹配]
\nНачало обработки dlc {}: {:016X},\n开始处理 dlc {}: {:016X}
\nНачало обработки программы {},\n开始处理程序 {}
\nНачало создания Data.nca,\n开始创建 Data.nca
\nНачало создания Meta.nca,\n开始创建 Meta.nca
\nОшибка USB обмена,\nUSB 通信错误
\nСборка PFS0,\n构建 PFS0
\nСборка RomFS,\n构建 RomFS
\nСекция 0,\n第 0 节
\nСекция 1,\n第1节
 (по времени игры), (按游戏时间)
\nСекция 2,\n第2节
\nСоздан NSP: {},\n已创建 NSP：{}
\nШифрование NCA,\n正在加密 NCA
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. 总计：{} 小时
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. 总计：{} 小时
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. 总计：{} 小时
{:4d} {}. Всего: {} час,{:4d} {}. 总计：{} 小时
{:4d} {}. Всего: {} часа,{:4d} {}. 总计：{} 小时
{:4d} {}. Всего: {} часов,{:4d} {}. 总计：{} 小时
 (по названию игры), (按游戏标题)
{:4d}. Всего: {} час,{:4d}. 总计：{} 小时
{:4d}. Всего: {} часа,{:4d}. 总计：{} 小时
{:4d}. Всего: {} часов,{:4d}. 总计：{} 小时
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,已处理 {:>6} 个对象。找到 {:>5} 条记录...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB 已下载...\r
{} cохранение,{} 个存档
{} cохранений,{} 个存档
{} cохранения,{} 个存档
 (по числу запусков), (按启动次数)
{} бекапа,{} 备份
{} бекапов,{} 个备份
{} записей ({}),{} 条记录 ({})
{} записи ({}),{} 条记录 ({})
{} запись ({}),{} 条记录 ({})
{} игр ({}),{} 游戏 ({})
{} игра ({}),{} 游戏 ({})
{} игры ({}),{} 游戏 ({})
{} сохранение,{} 个存档
{} сохранений,{} 个存档
{} сохранения,{} 个存档
{} тикет,{} 票证
{} тикета,{} 凭证
{} тикетов,{} 个凭证
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (均: {:.1f} MB/s, 现: {:.1f} MB/s) 余 {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/秒"
{}: {} потерянная запись,{}: {} 条丢失的记录
{}: {} потерянных записей,{}: {} 条丢失的记录
{}: {} потерянных записи,{}: {} 条丢失的记录
     {:<10} Шифрование: {} Размер установки: {}{:>10},     {:<10} 加密：{} 安装大小：{}{:>10}
 [НЕ МОГУ ОТКРЫТЬ ФАЙЛ], [无法打开文件]
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/秒)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/秒)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: 正在跳过 {}/{} ({:.2f} MB/秒)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить",{}\n\n备份恢复失败\n\n按 A - 中止，按其他键 - 继续
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB / {}MB ({:.2f} MB/s)\x1b[0K\r
«У шадоков ситуация удовлетворительна.,“沙多克人的情况还算令人满意。
Ёмкость с завода   : {} mAh,出厂容量   : {} mAh
АВТО,自动
Аватар установлен,头像已设置
Август,八月
Австралия,澳大利亚
Автозапуск FTP: ,自动启动 FTP：
Автозапуск MTP,自动启动 MTP
Автозапуск списка homebrew,自动启动自制软件列表
Автоповтор кнопок при удержании,按住时自动重复按键
Автор   : ,作者   :
Агрументы для ярлыка,快捷方式参数
Адрес FTP сервера: {},FTP 服务器地址：{}
Адрес HTTP сервера: {},HTTP 服务器地址：{}
 {:>5} часа, {:>5} 小时
Альбом (0°),横向 (0°)
Американский английский,美式英语
Апрель,四月
База этой игры не самодостаточна. Не забудьте установить обновление,此游戏的基础版本不完整。请务必安装更新
Базовое хранилище: ,基础存储：
Бекапы,备份
Бекапы сохранений ({}),存档备份 ({})
Британский английский,英式英语
 {:>5} часов, {:>5} 小时
В альбоме найден {} объект,在相册中找到 {} 个项目
В альбоме найдено {} объекта,在相册中找到 {} 个项目
В альбоме найдено {} объектов,在相册中找到 {} 个项目
В альбоме отсутствуют объекты,相册中没有项目
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,/switch/prod.keys 缺少必要密钥。\n\n部分功能将不可用。\n\n请重启至 Hekate 并使用 Lockpick_RCM.bin\n从 SysNAND 提取密钥。
ВНИМАНИЕ ,警告
ВНИМАНИЕ! ,警告！
ВНИМАНИЕ! Тайтл {:016X} не установлен,警告！标题 {:016X} 未安装
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),警告！已安装版本 ({}) 与所需版本 ({}) 不匹配
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,文件传输过程中发现错误。安装已中止
 {} в чёрном списке., {} 在黑名单中。
Введите URL сервера (HTTP или (S)FTP),输入服务器 URL (HTTP 或 (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,输入快捷方式参数或留空
Введите желаемый номер страницы,输入所需的页码
Введите новое имя,输入新名称
Введите новое имя каталога,输入新目录名
Введите новое имя файла,输入新文件名
Введите номер DLC,输入 DLC 编号
Версия  : ,版本  :
Версия {} [v{}],版本 {} [v{}]
Версия атмосферы            : {}.{}.{},Atmosphere 版本            : {}.{}.{}
Версия прошивки         : {}.{}.{}-{}.{},固件版本         : {}.{}.{}-{}.{}
Вместо пользователя {} использовать:,使用以下用户代替 {}：
Внимание! ,警告！
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,警告！\n部分文件已被锁定，因此被跳过。
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},解析过程中\n\n{}\n\n出现以下错误：\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,安装凭证时出错。请检查 ES 签名补丁是否存在
Во время экспорта были ошибки,导出过程中出现错误
Возраст батареи                 : {}%,电池寿命                 : {}%
Возраст батареи                : {},电池寿命                : {}
Возраст батареи                : {}%,电池寿命                : {}%
 {} минута, {} 分钟
Возрастной рейтинг,年龄分级
Восстановить,恢复
Восстановить бекап...,恢复备份...
Восстановить для...,恢复到...
Восстановить как бекап сохранения,恢复为存档备份
Восстановление бекапа,恢复备份
Восстановление не удалось,恢复失败
Восстановление успешно,恢复成功
Восстановление: {},正在恢复：{}
 {} минуты, {} 分钟
Время гашения экрана в секундах,屏幕熄灭时间（秒）
Время игры: {:02}:{:02}:{:02},游戏时间：{:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},传输时间 {:d}:{:02d}:{:02d}
Все игровые сессии,所有游戏会话
Все игроки,所有玩家
Все объекты,所有项目
Все файлы в порядке,所有文件均正常
Всего {} байт получен,总共接收了 {} 字节
Всего {} байт послан,总共发送了 {} 字节
Всего {} байта получено,总共接收了 {} 字节
 Да,是
Всего {} байта послано,总共发送了 {} 字节
Всего {} байтов получено,总共接收了 {} 字节
Всего {} байтов послано,总共发送了 {} 字节
Всего записей: {},总记录数：{}
Всего освобождено места : ,总释放空间：
Всего отослано: {} ({}/сек),总发送量：{} ({}/秒)
Всего программ: {},总程序数：{}
Вставить,粘贴
Вставка...,正在插入...
Всё время. Всего: {} час,所有时间。总计：{} 小时
 Да ,是
Всё время. Всего: {} часа,所有时间。总计：{} 小时
Всё время. Всего: {} часов,所有时间。总计：{} 小时
Вы собираетесь удалить следующие бекапы:,您将要删除以下备份：
Вы собираетесь удалить следующие игры:,您将要删除以下游戏：
Вы собираетесь удалить следующие сохранения:,您将要删除以下存档：
Вы собираетесь удалить следующие тикеты:,您将要删除以下凭证：
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,您确定要删除 {} 条记录吗？\n\n(+) - 是   B - 取消
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,您确定要删除 {} 条记录吗？\n\n(+) - 是   B - 取消
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,您确定要删除 {} 个对象吗？\n\n(+) - 是   B - 取消
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,您确定要删除 {} 个对象吗？\n\n(+) - 是   B - 取消
    {:>2} сек,    {:>2} 秒
 Закрытие игры, 关闭游戏
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ",您确定要删除 {} 吗？\n\n(+) - 是，其他键 - 否
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",您确定要删除\n{}吗？\n\n(+) - 是  B - 取消
Выберите пользователя,选择用户
Выберите тип сохранения,选择存档类型
Выбрать все файлы игры,选择所有游戏文件
Выбрать того же пользователя,选择相同的用户
Выбрать ту же игру,选择相同的游戏
Выйти из DBI           : ,退出 DBI           :
Выключать экран,关闭屏幕
Выключить экран        : ,关闭屏幕        :
 Запуск игры, 启动游戏
Вырезать,剪切
Выход на рабочий стол,退出到桌面
Вычисление хэша,正在计算哈希
Вычисленное время конца : {},计算的结束时间 : {}
Вычисленное время начала: {},计算的开始时间：{}
Генерация DLC [{:016X}][v{}],正在生成 DLC [{:016X}][v{}]
Генерация DLC анлокера...,正在生成 DLC 解锁器...
Генерируется анлокер для {:016X} с номером {} и версией {}...,正在为 {:016X} 生成编号为 {} 版本为 {} 的解锁器...
Генерируется ярлык для пути '{}' и аргументов '{}'...,正在为路径 '{}' 和参数 '{}' 生成快捷方式...
 Логаут пользователя \x1b[36;1m{}\x1b[37;1m,用户注销 \x1b[36;1m{}\x1b[37;1m
Главное меню,主菜单
Голландский,荷兰语
Да,是
"Да, я уверен",是的，我确定
Дамп анлокера в '{}'...,正在将解锁器转储到 '{}'...
Дамп текущей прошивки,转储当前固件
Дамп ярлыка в '{}'...,转储快捷方式到'{}'
