original,translation
Wireless LAN MAC адрес: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Indirizzo MAC Wireless LAN: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,File corrotto e non installabile. Firma HFS0 non trovata nella partizione secure
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,File corrotto e non installabile. Firma PFS0 non trovata
Файл слишком большой для хранилища,File troppo grande per l'archivio
Файл: {},File: {}
Фиксация ФС...,Commit del FS...
Финальный размер: {},Dimensione finale: {}
Формирование списка...,Formazione dell'elenco...
Форсированный язык    : {},Lingua forzata    : {}
Форсированный язык    : {} ({}),Lingua forzata    : {} ({})
  Автоопределение,  Rilevamento automatico
Форсировано вклчение USB 3.0: {},Forzatura abilitazione USB 3.0: {}
Форсировать UTF-8,Forza UTF-8
Форсировать язык,Forza lingua
Французский,Francese
"Х:{}, Т:{}, РЦ:{}","X:{}, T:{}, RC:{}"
Хранилища MTP,Archivi MTP
Хранилище только для чтения,Archivio di sola lettura
Хэш версии              : {},Hash della versione              : {}
Целевая запись о контенте не найдена,Voce del contenuto di destinazione non trovata
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,PARTE DEL CONTENUTO MANCANTE. IL GIOCO NON FUNZIONERÀ
Число транзисторов: {:>3},Numero di transistor: {:>3}
Число уникальных сыграных игр : {},Numero di giochi unici giocati : {}
Число ходов:        {:>3},Numero di mosse:    {:>3}
Читать дату файлов,Leggi data dei file
Чтение каталога...,Lettura della directory...
Чтение списка файлов...,Lettura dell'elenco dei file...
Что-то плохое грядёт,Qualcosa di brutto sta per accadere
Что-то пошло не так. Пропускаем оставшийся файл,Qualcosa è andato storto. Salto del file rimanente
"Чтобы вернуться, нажмите B",Premi B per tornare indietro
Шадок у Гиби,Shadok da Gibi
Шифрование секции ,Crittografia della sezione
Экзосфера очищает CAL0      : {},Exosphere pulisce CAL0      : {}
Экран                 : ({:08X}) {},Schermo                 : ({:08X}) {}
Экспорт SDK,Esportazione SDK
Экспортировать,Esporta
Экспортировать SDK,Esporta SDK
Это действие будет нельзя отменить,Questa azione non può essere annullata
Язык                    : {},Lingua                    : {}
Январь,Gennaio
Японский,Giapponese
Ярлык   : ,Etichetta :
Ярлык для DBI,Scorciatoia per DBI
"больше шансов, что оно заработает». Их",probabilità ci sono che funzioni'. Il loro
быстро проникли в планы шадоков и,hanno subito capito i piani degli Shadok e
"всякий раз, когда растение расцветает",ogni volta che una pianta fiorisce
"выражениях: «Чем больше неудач, тем","parole: 'Più fallimenti ci sono, più"
"вычислили, что у них есть по крайней",calcolato di avere almeno una
да,дa
заработает… И они торопятся поскорее,funzioni... E si affrettano a realizzare
"и дает транзистор, они мчатся, чтобы","e produce un transistor, si precipitano a"
"и не кончилось успехом». Или, в других","senza finire con un successo'. O, in altre"
"мере один шанс из миллиона, что она",possibilità su un milione che
миллионная заработает».,"il milionesimo funzioni""."
не является LFS папкой,non è una cartella LFS
не является LFS папкой игры,non è una cartella LFS di un gioco
нет,нeт
"ничего, что бы непрерывно продолжалось",nulla che continui ininterrottamente
"но окружили его со всех сторон, и","ma lo hanno circondato da tutti i lati, e"
"опытов, чтобы быть уверенными, что",per essere sicuri che
осуществить 999999 первых неудачных,i primi 999.999 tentativi falliti
"очень умные благодаря своим шляпам,","molto intelligenti grazie ai loro cappelli,"
"планету гиби искать транзисторы. Гиби,","pianeta dei Gibi a cercare transistor. I Gibi,"
постоянно кончаясь неудачами.,finendo costantemente in fallimenti.
принципов шадокской логики: «Нет,fondamentali della logica Shadok: 'Non c'è
"ракета еще несовершенна, но они","razzo non è ancora perfetto, ma hanno"
"растений, произрастающих на огородах.",piante che crescono nei loro orti.
решили позабавиться. Они позволили,hanno deciso di divertirsi. Hanno permesso
"ZL/ZR - смена даты, Y - период","ZL/ZR - cambia data, Y - periodo"
собрать урожай прежде шадока.,raccoglierlo prima dello Shadok.
"терпят неудачу потому, что не хватает",falliscono perché mancano
транзисторов в системах безопасности.,transistor nei sistemi di sicurezza.
"шадоку забраться в один из их огородов,","allo Shadok di entrare in uno dei loro orti,"
"Получено: {}, (скорость не определена)","Ricevuto: {}, (velocità indefinita)"
Игры добавлены в список исключений,Giochi aggiunti alla lista esclusioni
Новых игр в список исключений добавлено не было,Nessun nuovo gioco aggiunto alla lista esclusioni
"Интервал автобекапа сейвов, дни","Intervallo auto-backup salv., gg"
Просмотр МТР устройства [{}],Vedi dispositivo MTP [{}]
Просмотр USB диска [{}],Vedi disco USB [{}]
Заряд батареи (сырое значение) : {},Carica della batteria (valore grezzo) : {}
ru,it
Конфигурация зарядки            : {},Configurazione ricarica         : {}
Режим Hi-Z включён              : {},Modalità Hi-Z abilitata         : {}
Зарядка батареи включена        : {},Ricarica batteria abilitata     : {}
Маршрут электропитания          : {},Percorso alimentazione          : {}
Напряжение источника            : {} mV,Tensione sorgente               : {} mV
Ток источника                   : {} mA,Corrente sorgente               : {} mA
Быстрая зарядка разрешена       : {},Ricarica rapida consentita      : {}
[CRC ОШИБКА ФАЙЛА],[ERRORE CRC FILE]
Целевая прошивка            : {}.{}.{},Firmware di destinazione    : {}.{}.{}
Поддерживаемая версия HOS   : {},Versione HOS supportata     : {}
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,Il firmware di sistema verrà scaricato e installato dal file {}.\n\nPremi (+) per continuare\nQualsiasi altro tasto per annullare
Распаковка архива не удалась,Estrazione archivio fallita
Сканирование архива не удалось,Scansione archivio fallita
Установить все обновления из этой папки,Installa tutti gli aggiornamenti da questa cartella
Япония,Giappone
Русский,Russo
Февраль,Febbraio
Октябрь,Ottobre
[HASH MISMATCH: GC ➡ eShop],[HASH ERRATO: GC -> eShop]
Ноябрь,Novembre
 {} минут,{} minuti
Игрок,Игpoк
Время,Bpeмя
Язык    : ,Язык    : 
Контент,Koнтeнт
[HASH: OK],[HASH: OK]
Красная,Kpacнaя
Путь    : ,Путь    : 
  Жак Руксель. Великолепие навыворот.,  Jacques Rouxel. Lo splendore al contrario.
[HASH MISMATCH: Неисправимо],[HASH NON CORRISPONDENTE: Irreparabile]
[ПРЕД],[ПPEД]
Альбом,Aльбoм
Выход,Bыxoд
и т.д...,и т.д...
{} бекап,{} бeкaп
874,874
Пишется тело: {}/{}MB \r,Scrittura corpo: {}/{}MB \r
Пишется скриншот\n,Scrittura screenshot\n
Пишется таблица хешей\n,Scrittura tabella hash\n
Пишется подпись видео\n,Scrittura firma video\n
Операция завершена\n,Operazione completata\n
Предел входного тока (буст)     : {} mA,Limite corrente ingr. (boost)   : {} mA
Предел тока быстрой зарядки     : {} mA,Limite corrente ricarica rapida : {} mA
Напряжение батареи              : {} mV,Tensione batteria               : {} mV
Контроллер источника получен    : {},Controller sorgente ricevuto    : {}
OTG Запрошен                    : {},OTG Richiesto                   : {}
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",Il firmware di sistema verrà scaricato e installato dal file {}.\n\nATTENZIONE!!! Sembra che questa versione non sia supportata da Atmosphere attuale.\n\nPremi (+) per continuare\nQualsiasi altro tasto per annullare
Копирование файла не удалось,Copia file fallita
Daybreak.nro не найден,Daybreak.nro non trovato
Изображение добавлено в альбом,Immagine aggiunta all'album
Ошибка добавления изобржения в альбом: {},Errore aggiunta immagine all'album: {}
Добавить в альбом,Aggiungi all'album
Анализ mp4 файла,Analisi file mp4
Длительность: {},Durata: {}
ОШИБКА! Файл не содержит один видео трек,ERRORE! Il file non contiene una traccia video
ОШИБКА! Файл не содержит один аудио трек,ERRORE! Il file non contiene una traccia audio
ОШИБКА! У видео трека неподдерживаемый кодек,ERRORE! Codec video non supportato
ОШИБКА! У аудио трека неподдерживаемый кодек,ERRORE! Codec audio non supportato
ОШИБКА! Аудио трек не стерео,ERRORE! Traccia audio non stereo
[{}] Общий тикет для {},[{}] Ticket comune per {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,ERRORE! Frequenza campionamento audio non valida
ОШИБКА! У видео трека неподходящая ширина,ERRORE! Larghezza video non valida
ОШИБКА! У видео трека неподходящая высота,ERRORE! Altezza video non valida
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,ATTENZIONE! Il flusso video potrebbe contenere B-Frame. Il file potrebbe non essere riprodotto
"Похоже, это не MP4 файл",Non sembra un file MP4
Открыть как RomFS,Apri come RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,La tua scheda SD è contraffatta. Si consiglia di sostituire la scheda SD con una verificata.
[{}] Персональный тикет для {},[{}] Ticket personale per {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,"Sembra che la tua scheda SD sia contraffatta.\n\nPotrebbero verificarsi problemi con l'installazione dei giochi.\nIn questo caso, si consiglia di sostituire la scheda SD con una verificata."
Информация о SD карте,Informazioni sulla scheda SD
Производитель    : {:s} ({:02X}),Produttore    : {:s} ({:02X})
OEM ID           : {:s} ({:s}),OEM ID           : {:s} ({:s})
Имя продукта     : {:s},Nome prodotto    : {:s}
Ревизия продукта : {:s},Revisione prodotto : {:s}
Серийный номер   : {:s},Numero di serie   : {:s}
[ПОДПИСЬ: DBI],[FIRMA: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Tempo di gioco    [32;1m{:02}:{:02}:{:02}[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR cambia data, Y periodo, X ordina, (+) seleziona utente"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB di {}MB ({:.2f} MB/s)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X seleziona, Y inverti selezione, (+) menu, R3 ordina, L3 avvia"
Создать все известные ({}),Crea tutti i noti ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X seleziona, Y inverti selezione, (+) menu, L3 avvia"
"DPAD или стики для перемещения, (+) Настройки","DPAD o levette per muoversi, (+) Impostazioni"
Просмотр HTTP/FTP/Github сервера...,Visualizzazione server HTTP/FTP/Github...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X Seleziona, Y Inverti selezione, (+) Menu, R3 Ordina"
"X выбор, Y обр. выбор, (+) меню","X seleziona, Y selez. inv., (+) menu"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X seleziona, Y inverti selezione, A apri, (-) 2° pannello, (+) menu"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X seleziona, Y inv. seleziona, ⬅/➡ cambia pannello, (-) chiudi, (+) menu"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[FRAMMENTO DELTA NON NECESSARIO]
[КОНТЕНТ ОТСУТСТВУЕТ],[CONTENUTO MANCANTE]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[IMPOSSIBILE CREARE SEGNAPOSTO]
[НЕДОСТАТОЧНО МЕСТА],[SPAZIO INSUFFICIENTE]
  Кодировка...,  Codifica...
[НЕИЗВЕСТНОЕ СЖАТИЕ],[COMPRESSIONE SCONOSCIUTA]
[ОТСУТСТВУЕТ],[MANCANTE]
[ОШБК],[OШБK]
[ОШИБКА NCA MAGIC],[ERRORE NCA MAGIC]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[ERRORE DI SCRITTURA NEL SEGNAPOSTO]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ERRORE DECOMPRESSIONE ZSTD: {}]
[ОШИБКА РАСПАКОВКИ],[ERRORE DI DECOMPRESSIONE]
[ОШИБКА],[ERRORE]
[ОШИБКА] Отсутствует URL списка обновлений,[ERRORE] URL dell'elenco aggiornamenti mancante
[ПЕРЕДАЧА OK],[TRASFERIMENTO OK]
  Применить,  Applica
[ПЕРЕДАЧА ПРЕРВАНА],[TRASFERIMENTO ANNULLATO]
[ПОВРЕЖДЁННЫЙ NCA],[NCA CORROTTO]
[ПОДПИСЬ: OK],[FIRMA: OK]
[ПОДПИСЬ: XCI➡NSP],[FIRMA: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[FIRMA: Falsa]
[СТАРАЯ ПРОШИВКА],[FIRMWARE OBSOLETO]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[MODALITÀ TITOLO RICHIESTA]
[ФАЙЛ ПОВРЕЖДЁН],[FILE CORROTTO]
[ХЕШ ИСПРАВЛЕН],[HASH CORRETTO]
  Редактирование,  Modifica
[ХЕШ НЕ СОВПАДАЕТ],[HASH NON CORRISPONDENTE]
\nНачало обработки dlc {}: {:016X},\nInizio elaborazione dlc {}: {:016X}
\nНачало обработки программы {},\nInizio elaborazione programma {}
\nНачало создания Data.nca,\nInizio creazione Data.nca
\nНачало создания Meta.nca,\nInizio creazione Meta.nca
\nОшибка USB обмена,\nErrore di comunicazione USB
\nСборка PFS0,\nAssembl. PFS0
\nСборка RomFS,\nAssembl. RomFS
\nСекция 0,\nSezione 0
\nСекция 1,\nSezione 1
 (по времени игры), (per tempo di gioco)
\nСекция 2,\nSezione 2
\nСоздан NSP: {},\nNSP creato: {}
\nШифрование NCA,\nCrittografia NCA
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Totale: {} ora
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Totale: {} ore
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Totale: {} ore
{:4d} {}. Всего: {} час,{:4d} {}. Totale: {} ora
{:4d} {}. Всего: {} часа,{:4d} {}. Totale: {} ore
{:4d} {}. Всего: {} часов,{:4d} {}. Totale: {} ore
 (по названию игры), (per titolo del gioco)
{:4d}. Всего: {} час,{:4d}. Totale: {} ora
{:4d}. Всего: {} часа,{:4d}. Totale: {} ore
{:4d}. Всего: {} часов,{:4d}. Totale: {} ore
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} oggetti elaborati. {:>5} voci trovate...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB già scaricati...\r
{} cохранение,{} salvataggio
{} cохранений,{} salvataggi
{} cохранения,{} salvataggi
 (по числу запусков), (per numero di avvii)
{} бекапа,Backup {}
{} бекапов,{} backup
{} записей ({}),{} voci ({})
{} записи ({}),{} voci ({})
{} запись ({}),{} voce ({})
{} игр ({}),{} игp ({})
{} игра ({}),{} gioco ({})
{} игры ({}),{} giochi ({})
{} сохранение,{} salvataggio
{} сохранений,{} salvataggi
{} сохранения,{} salvataggi
{} тикет,{} тикeт
{} тикета,Ticket {}
{} тикетов,{} ticket
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Med: {:.1f} MB/s, Att: {:.1f} MB/s) Rim. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/s"
{}: {} потерянная запись,{}: {} voce orfana
{}: {} потерянных записей,{}: {} voci orfane
{}: {} потерянных записи,{}: {} voci orfane
     {:<10} Шифрование: {} Размер установки: {}{:>10},     {:<10} Crittografia: {} Dimensione installazione: {}{:>10}
 [НЕ МОГУ ОТКРЫТЬ ФАЙЛ], [IMPOSSIBILE APRIRE IL FILE]
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/s)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: salto di {}/{} ({:.2f} MB/s)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nRipristino del backup fallito\n\nPremi A per annullare, un altro pulsante per continuare"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB di {}MB ({:.2f} MB/s)\x1b[0K\r
«У шадоков ситуация удовлетворительна.,"""La situazione degli Shadok è soddisfacente."
Ёмкость с завода   : {} mAh,Capacità di fabbrica   : {} mAh
АВТО,ABTO
Аватар установлен,Avatar impostato
Август,Agosto
Австралия,Australia
Автозапуск FTP: ,Avvio automatico FTP:
Автозапуск MTP,Avvio automatico MTP
Автозапуск списка homebrew,Avvio automatico elenco homebrew
Автоповтор кнопок при удержании,Ripetizione automatica dei pulsanti tenuti premuti
Автор   : ,Autore  :
Агрументы для ярлыка,Argomenti per la scorciatoia
Адрес FTP сервера: {},Indirizzo server FTP: {}
Адрес HTTP сервера: {},Indirizzo server HTTP: {}
 {:>5} часа, {:>5} ore
Альбом (0°),Orizzontale (0°)
Американский английский,Inglese americano
Апрель,Aprile
База этой игры не самодостаточна. Не забудьте установить обновление,La base di questo gioco non è autosufficiente. Assicurati di installare l'aggiornamento
Базовое хранилище: ,Archivio di base:
Бекапы,Бeкaпы
Бекапы сохранений ({}),Backup dei salvataggi ({})
Британский английский,Inglese britannico
 {:>5} часов, {:>5} ore
В альбоме найден {} объект,Trovato {} oggetto nell'album
В альбоме найдено {} объекта,Trovati {} oggetti nell'album
В альбоме найдено {} объектов,Trovati {} oggetti nell'album
В альбоме отсутствуют объекты,Nessun oggetto trovato nell'album
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,Chiavi mancanti in /switch/prod.keys.\n\nAlcune funzioni non disponibili.\n\nRiavvia in Hekate e usa payload Lockpick_RCM.bin\nper dump chiavi da SysNAND.
ВНИМАНИЕ ,ATTENZIONE
ВНИМАНИЕ! ,ATTENZIONE!
ВНИМАНИЕ! Тайтл {:016X} не установлен,ATTENZIONE! Il titolo {:016X} non è installato
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),ATTENZIONE! La versione installata ({}) non corrisponde a quella desiderata ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,RILEVATI ERRORI DURANTE IL TRASFERIMENTO DEL FILE. INSTALLAZIONE ANNULLATA
 {} в чёрном списке., {} nella lista nera.
Введите URL сервера (HTTP или (S)FTP),Inserisci URL del server (HTTP o (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Inserisci gli argomenti per la scorciatoia o lascia vuoto
Введите желаемый номер страницы,Inserisci il numero di pagina desiderato
Введите новое имя,Inserisci nuovo nome
Введите новое имя каталога,Inserisci nuovo nome della directory
Введите новое имя файла,Inserisci nuovo nome del file
Введите номер DLC,Inserisci numero DLC
Версия  : ,Versione:
Версия {} [v{}],Versione {} [v{}]
Версия атмосферы            : {}.{}.{},Versione di Atmosphere            : {}.{}.{}
Версия прошивки         : {}.{}.{}-{}.{},Versione firmware         : {}.{}.{}-{}.{}
Вместо пользователя {} использовать:,"Invece dell'utente {}, usare:"
Внимание! ,Attenzione!
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,Attenzione!\nAlcuni file erano bloccati e sono stati saltati.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Durante l'analisi di\n\n{}\n\nsi è verificato il seguente errore:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Si sono verificati errori durante l'installazione dei ticket. Controlla la presenza delle ES sigpatch
Во время экспорта были ошибки,Si sono verificati errori durante l'esportazione
Возраст батареи                 : {}%,Età della batteria                 : {}%
Возраст батареи                : {},Età della batteria                : {}
Возраст батареи                : {}%,Età della batteria                : {}%
 {} минута, {} minuto
Возрастной рейтинг,Classificazione per età
Восстановить,Ripristina
Восстановить бекап...,Ripristina backup...
Восстановить для...,Ripristina per...
Восстановить как бекап сохранения,Ripristina come backup di salvataggio
Восстановление бекапа,Ripristino del backup
Восстановление не удалось,Ripristino fallito
Восстановление успешно,Ripristino riuscito
Восстановление: {},Ripristino: {}
 {} минуты, {} minuti
Время гашения экрана в секундах,Tempo di spegnimento schermo in secondi
Время игры: {:02}:{:02}:{:02},Tempo di gioco: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Tempo di trasferimento {:d}:{:02d}:{:02d}
Все игровые сессии,Tutte le sessioni di gioco
Все игроки,Tutti i giocatori
Все объекты,Tutti gli oggetti
Все файлы в порядке,Tutti i file sono integri
Всего {} байт получен,Ricevuto un totale di {} byte
Всего {} байт послан,Inviato un totale di {} byte
Всего {} байта получено,Ricevuti un totale di {} byte
 Да,Sì
