original,translation
Удаляется {} из {}...,{} van {} verwijderen...
Удаляется {}...,{} verwijderen...
Удаляется бекап ,Back-up verwijderen
Удаляется запись о контенте...,Contentrecord verwijderen...
Удаляется запись об игре...,Spelrecord verwijderen...
Удаляется игра и весь связанный контент,Spel en alle gerelateerde content verwijderen
Titlekey не может быть инициализирован,Titlekey kan niet worden geïnitialiseerd
Удаляется папка LFS...,LFS-map verwijderen...
Удаляется пустая папка,Lege map verwijderen
Удаляется сохранение {}...,Savegame {} verwijderen...
Удаляется старая запись о контенте...,Oud contentrecord verwijderen...
Удаляется старый cnmt.nca...,Oude cnmt.nca verwijderen...
Удаляется тикет: {}...,Ticket verwijderen: {}...
Удалять после установки: ,Verwijderen na installatie:
Удаляются все объекты из альбома для игры,Alle objecten uit het album voor het spel verwijderen
Удаляются все сохранения для игры,Alle saves voor spel verwijderen
Удаляются сохранения...,Savegames verwijderen...
"UID: {}, Ник: {}","UID: {}, Nick: {}"
Удалённые,Verwijderd
Удачный экспорт,Exporteren geslaagd
Уделение старого тикета...,Oud ticket verwijderen...
Упаковка каталога в RomFS,Map inpakken in RomFS
Упрощенный китайский,Vereenvoudigd Chinees
Уровень заряда батареи         : {},Batterijladingsniveau         : {}
Успешно разобран как PFS0 файл,Succesvol geparsed als PFS0-bestand
Устанавливается {},{} installeren
Установить как аватар...,Instellen als avatar...
Установка,Installatie
URL для проверки обновлений,URL voor updatecontrole
Установка анлокера...,Unlocker installeren...
Установка завершена,Installatie voltooid
Установка игр (NAND),Spellen installeren (NAND)
Установка игр (SD Card),Spellen installeren (SD-kaart)
Установка игры завершена,Spelinstallatie voltooid
Установка обновлений игр,Spelupdates installeren
Установка прервана,Installatie afgebroken
Установка с картриджа,Installeren vanaf cartridge
Установка тайтлов ({}/{}),Titels installeren ({}/{})
Установка через DBIbackend,Installeren via DBIbackend
USB Соединение,USB-verbinding
Установка ярлыка...,Snelkoppeling installeren...
Установлен,Geïnstalleerd
Установленные,Geïnstalleerd
Установленные homebrew,Geïnstalleerde homebrew
Установленные homebrew ({}),Geïnstalleerde homebrew ({})
Установленные игры,Geïnstalleerde spellen
Установленные тикеты,Geïnstalleerde tickets
Установленные тикеты ({}),Geïnstalleerde tickets ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Bestand is beschadigd en kan niet worden geïnstalleerd. HEAD-handtekening niet gevonden
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Bestand is beschadigd en kan niet worden geïnstalleerd. HFS0-handtekening niet gevonden in root-partitie
Wireless LAN MAC адрес: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Draadloos LAN MAC-adres: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Bestand is beschadigd en kan niet worden geïnstalleerd. HFS0-handtekening niet gevonden in beveiligde partitie
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,Bestand is beschadigd en kan niet worden geïnstalleerd. PFS0-handtekening niet gevonden
Файл слишком большой для хранилища,Bestand te groot voor opslag
Файл: {},Bestand: {}
Фиксация ФС...,FS vastleggen...
Финальный размер: {},Uiteindelijke grootte: {}
Формирование списка...,Lijst samenstellen...
Форсированный язык    : {},Geforceerde taal    : {}
Форсированный язык    : {} ({}),Geforceerde taal    : {} ({})
  Автоопределение,  Automatisch detecteren
Форсировано вклчение USB 3.0: {},USB 3.0 geforceerd ingeschakeld: {}
Форсировать UTF-8,UTF-8 forceren
Форсировать язык,Taal forceren
Французский,Frans
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, RC:{}"
Хранилища MTP,MTP-opslaglocaties
Хранилище только для чтения,Alleen-lezen opslag
Хэш версии              : {},Versiehash              : {}
Целевая запись о контенте не найдена,Doel-contentrecord niet gevonden
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,DEEL VAN DE CONTENT ONTBREEKT. SPEL ZAL NIET WERKEN
Число транзисторов: {:>3},Aantal transistors: {:>3}
Число уникальных сыграных игр : {},Aantal unieke gespeelde spellen : {}
Число ходов:        {:>3},Aantal zetten:      {:>3}
Читать дату файлов,Bestandsdatum lezen
Чтение каталога...,Map lezen...
Чтение списка файлов...,Bestandslijst lezen...
Что-то плохое грядёт,Er staat iets ergs te gebeuren
Что-то пошло не так. Пропускаем оставшийся файл,Er is iets misgegaan. Resterend bestand wordt overgeslagen
"Чтобы вернуться, нажмите B",Druk op B om terug te keren
Шадок у Гиби,Shadok bij Gibi
Шифрование секции ,Sectie versleutelen
Экзосфера очищает CAL0      : {},Exosphere wist CAL0      : {}
Экран                 : ({:08X}) {},Scherm                 : ({:08X}) {}
Экспорт SDK,SDK exporteren
Экспортировать,Exporteren
Экспортировать SDK,SDK exporteren
Это действие будет нельзя отменить,Deze actie kan niet ongedaan worden gemaakt
Язык                    : {},Taal                    : {}
Январь,Januari
Японский,Japans
Ярлык   : ,Label   :
Ярлык для DBI,DBI-snelkoppeling
"больше шансов, что оно заработает». Их","groter de kans dat het zal werken."" Hun"
быстро проникли в планы шадоков и,doorzagen snel de plannen van de Shadoks en
"всякий раз, когда растение расцветает",elke keer als een plant bloeit
"выражениях: «Чем больше неудач, тем","woorden: ""Hoe meer mislukkingen, hoe"
"вычислили, что у них есть по крайней",hebben berekend dat ze op zijn minst
да,ja
заработает… И они торопятся поскорее,zal werken... En ze haasten zich om
"и дает транзистор, они мчатся, чтобы","en een transistor geeft, haasten ze zich om"
"и не кончилось успехом». Или, в других","en niet met succes eindigt."" Of, in andere"
"мере один шанс из миллиона, что она",één kans op een miljoen hebben dat hij
миллионная заработает».,"dat de miljoenste zal werken."""
не является LFS папкой,is geen LFS-map
не является LFS папкой игры,is geen LFS-map van een spel
нет,nee
"ничего, что бы непрерывно продолжалось",niets dat onophoudelijk doorgaat
"но окружили его со всех сторон, и","maar omsingelden hem van alle kanten, en"
"опытов, чтобы быть уверенными, что","uit te voeren, om er zeker van te zijn"
осуществить 999999 первых неудачных,de eerste 999.999 mislukte pogingen
"очень умные благодаря своим шляпам,","zeer slim dankzij hun hoeden,"
"планету гиби искать транзисторы. Гиби,","planeet Gibi's sturen om transistors te zoeken. De Gibi's,"
постоянно кончаясь неудачами.,en eindigen voortdurend in mislukkingen.
принципов шадокской логики: «Нет,"principes van de Shadok-logica: ""Er is"
"ракета еще несовершенна, но они","raket is nog niet perfect, maar ze"
"растений, произрастающих на огородах.",verzameld van planten die in tuinen groeien.
решили позабавиться. Они позволили,besloten wat plezier te hebben. Ze lieten
"ZL/ZR - смена даты, Y - период","ZL/ZR - datum wijzigen, Y - periode"
собрать урожай прежде шадока.,de oogst binnen te halen vóór de Shadok.
"терпят неудачу потому, что не хватает",mislukken omdat er een tekort is aan
транзисторов в системах безопасности.,transistors in de veiligheidssystemen.
"шадоку забраться в один из их огородов,","de Shadok een van hun tuinen binnengaan,"
"Получено: {}, (скорость не определена)","Ontvangen: {}, (snelheid onbepaald)"
Игры добавлены в список исключений,Games toegevoegd aan uitzonderingen
Новых игр в список исключений добавлено не было,Geen nieuwe games aan uitzonderingen toegevoegd
"Интервал автобекапа сейвов, дни","Interval auto-backup saves, dagen"
Просмотр МТР устройства [{}],Bekijk MTP-apparaat [{}]
Просмотр USB диска [{}],Bekijk USB-schijf [{}]
Заряд батареи (сырое значение) : {},Batterijlading (ruwe waarde) : {}
ru,nl
Конфигурация зарядки            : {},Laadconfiguratie              : {}
Режим Hi-Z включён              : {},Hi-Z-modus ingeschakeld     : {}
Зарядка батареи включена        : {},Accu opladen ingeschakeld     : {}
Маршрут электропитания          : {},Stroompad                     : {}
Напряжение источника            : {} mV,Bronspanning                  : {} mV
Ток источника                   : {} mA,Bronstroom                  : {} mA
Быстрая зарядка разрешена       : {},Snelladen toegestaan          : {}
[CRC ОШИБКА ФАЙЛА],[BESTANDS-CRC-FOUT]
Целевая прошивка            : {}.{}.{},Doelfirmware                : {}.{}.{}
Поддерживаемая версия HOS   : {},Ondersteunde HOS-versie   : {}
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,Systeemfirmware wordt gedownload en geïnstalleerd uit bestand {}.\n\nDruk op (+) om door te gaan\nEen andere knop om te annuleren
Распаковка архива не удалась,Uitpakken archief mislukt
Сканирование архива не удалось,Scannen archief mislukt
Установить все обновления из этой папки,Alle updates uit deze map installeren
Япония,Japan
Русский,Russisch
Февраль,Februari
Октябрь,Oktober
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,November
 {} минут,{} minuten
Игрок,Speler
Время,Tijd
Язык    : ,Taal    :
Контент,Content
[HASH: OK],[HASH: OK]
Красная,Rood
Путь    : ,Pad     :
  Жак Руксель. Великолепие навыворот.,  Jacques Rouxel. De pracht van binnenstebuiten.
[HASH MISMATCH: Неисправимо],[HASH MISMATCH: Onherstelbaar]
[ПРЕД],[WAARSCH]
Альбом,Album
Выход,Afsluiten
и т.д...,enz...
{} бекап,{} back-up
874,874
Пишется тело: {}/{}MB \r,Body schrijven: {}/{}MB \r
Пишется скриншот\n,Screenshot schrijven\n
Пишется таблица хешей\n,Hashtabel schrijven\n
Пишется подпись видео\n,Videosignatuur schrijven\n
Операция завершена\n,Bewerking voltooid\n
Предел входного тока (буст)     : {} mA,Invoerstroomlimiet (boost)  : {} mA
Предел тока быстрой зарядки     : {} mA,Stroomlimiet snelladen      : {} mA
Напряжение батареи              : {} mV,Accuspanning                  : {} mV
Контроллер источника получен    : {},Broncontroller ontvangen      : {}
OTG Запрошен                    : {},OTG aangevraagd               : {}
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",Systeemfirmware wordt gedownload en geïnstalleerd uit bestand {}.\n\nLET OP!!! Deze versie wordt waarschijnlijk niet ondersteund door de huidige Atmosphere.\n\nDruk op (+) om door te gaan\nEen andere knop om te annuleren
Копирование файла не удалось,Kopiëren van bestand mislukt
Daybreak.nro не найден,Daybreak.nro niet gevonden
Изображение добавлено в альбом,Afbeelding toegevoegd aan album
Ошибка добавления изобржения в альбом: {},Fout bij toevoegen aan album: {}
Добавить в альбом,Toevoegen aan album
Анализ mp4 файла,MP4-bestand analyseren
Длительность: {},Duur: {}
ОШИБКА! Файл не содержит один видео трек,FOUT! Bestand bevat geen videotrack
ОШИБКА! Файл не содержит один аудио трек,FOUT! Bestand bevat geen audiotrack
ОШИБКА! У видео трека неподдерживаемый кодек,FOUT! Videotrack-codec niet ondersteund
ОШИБКА! У аудио трека неподдерживаемый кодек,FOUT! Audiotrack-codec niet ondersteund
ОШИБКА! Аудио трек не стерео,FOUT! Audiotrack is niet stereo
[{}] Общий тикет для {},[{}] Algemeen ticket voor {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,FOUT! Sample rate audiotrack ongeschikt
ОШИБКА! У видео трека неподходящая ширина,FOUT! Breedte videotrack ongeschikt
ОШИБКА! У видео трека неподходящая высота,FOUT! Hoogte videotrack ongeschikt
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,LET OP! Videostream bevat mogelijk B-Frames. Bestand speelt wellicht niet af.
"Похоже, это не MP4 файл",Dit lijkt geen MP4-bestand
Открыть как RomFS,Openen als RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Uw SD-kaart is een vervalsing. Het wordt aanbevolen om de SD-kaart te vervangen door een geverifieerd exemplaar.
[{}] Персональный тикет для {},[{}] Persoonlijk ticket voor {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,Het lijkt erop dat je SD-kaart een vervalsing is.\n\nEr kunnen problemen optreden bij het installeren van games.\nIn dit geval wordt aangeraden de SD-kaart te vervangen door een geverifieerd exemplaar.
Информация о SD карте,Informatie over SD-kaart
Производитель    : {:s} ({:02X}),Fabrikant    : {:s} ({:02X})
OEM ID           : {:s} ({:s}),OEM ID           : {:s} ({:s})
Имя продукта     : {:s},Productnaam      : {:s}
Ревизия продукта : {:s},Productrevisie : {:s}
Серийный номер   : {:s},Serienummer   : {:s}
[ПОДПИСЬ: DBI],[HANDTEKENING: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Speeltijd    [32;1m{:02}:{:02}:{:02}[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR datum wijzigen, Y periode, X sorteren, (+) gebruiker selecteren"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB van {}MB ({:.2f} MB/s)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X selecteren, Y selectie omkeren, (+) menu, R3 sorteren, L3 starten"
Создать все известные ({}),Maak alle bekende ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X selecteren, Y selectie omkeren, (+) menu, L3 starten"
"DPAD или стики для перемещения, (+) Настройки","DPAD of sticks om te bewegen, (+) Instellingen"
Просмотр HTTP/FTP/Github сервера...,HTTP/FTP/Github-server bekijken...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X Selecteren, Y Selectie omkeren, (+) Menu, R3 Sorteren"
"X выбор, Y обр. выбор, (+) меню","X selectie, Y omgek. sel., (+) menu"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X selecteren, Y selectie omkeren, A openen, (-) 2e paneel, (+) menu"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X selectie, Y omgek. selectie, ⬅/➡ paneel wisselen, (-) sluiten, (+) menu"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[DELTAFRAGMENT NIET NODIG]
[КОНТЕНТ ОТСУТСТВУЕТ],[CONTENT ONTBREEKT]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[KAN PLACEHOLDER NIET AANMAKEN]
[НЕДОСТАТОЧНО МЕСТА],[ONVOLDOENDE RUIMTE]
  Кодировка...,  Codering...
[НЕИЗВЕСТНОЕ СЖАТИЕ],[ONBEKENDE COMPRESSIE]
[ОТСУТСТВУЕТ],[ONTBREEKT]
[ОШБК],[FOUT]
[ОШИБКА NCA MAGIC],[NCA MAGIC FOUT]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[FOUT BIJ SCHRIJVEN NAAR PLACEHOLDER]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ZSTD UITPAKFOUT: {}]
[ОШИБКА РАСПАКОВКИ],[UITPAKFOUT]
[ОШИБКА],[FOUT]
[ОШИБКА] Отсутствует URL списка обновлений,[FOUT] URL van updatelijst ontbreekt
[ПЕРЕДАЧА OK],[OVERDRACHT OK]
  Применить,  Toepassen
[ПЕРЕДАЧА ПРЕРВАНА],[OVERDRACHT AFGEBROKEN]
[ПОВРЕЖДЁННЫЙ NCA],[BESCHADIGDE NCA]
[ПОДПИСЬ: OK],[HANDTEKENING: OK]
[ПОДПИСЬ: XCI➡NSP],[HANDTEKENING: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[HANDTEKENING: Vervalsing]
[СТАРАЯ ПРОШИВКА],[OUDE FIRMWARE]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[TITELMODUS VEREIST]
[ФАЙЛ ПОВРЕЖДЁН],[BESTAND BESCHADIGD]
[ХЕШ ИСПРАВЛЕН],[HASH GECORRIGEERD]
  Редактирование,  Bewerken
[ХЕШ НЕ СОВПАДАЕТ],[HASH KOMT NIET OVEREEN]
\nНачало обработки dlc {}: {:016X},\nBeginnen met verwerken van dlc {}: {:016X}
\nНачало обработки программы {},\nBeginnen met verwerken van programma {}
\nНачало создания Data.nca,\nBeginnen met aanmaken van Data.nca
\nНачало создания Meta.nca,\nBeginnen met aanmaken van Meta.nca
\nОшибка USB обмена,\nUSB-communicatiefout
\nСборка PFS0,\nAssembl. PFS0
\nСборка RomFS,\nAssembl. RomFS
\nСекция 0,\nSectie 0
\nСекция 1,\nSectie 1
 (по времени игры), (op speeltijd)
\nСекция 2,\nSectie 2
\nСоздан NSP: {},\nNSP aangemaakt: {}
\nШифрование NCA,\nNCA versleutelen
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Totaal: {} uur
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Totaal: {} uur
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Totaal: {} uur
{:4d} {}. Всего: {} час,{:4d} {}. Totaal: {} uur
{:4d} {}. Всего: {} часа,{:4d} {}. Totaal: {} uur
{:4d} {}. Всего: {} часов,{:4d} {}. Totaal: {} uur
 (по названию игры), (op speltitel)
{:4d}. Всего: {} час,{:4d}. Totaal: {} uur
{:4d}. Всего: {} часа,{:4d}. Totaal: {} uur
{:4d}. Всего: {} часов,{:4d}. Totaal: {} uur
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} objecten verwerkt. {:>5} records gevonden...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB al gedownload...\r
{} cохранение,{} savegame
{} cохранений,{} savegames
{} cохранения,{} savegames
 (по числу запусков), (op aantal keer gestart)
{} бекапа,{} back-up
{} бекапов,{} back-ups
{} записей ({}),{} records ({})
{} записи ({}),{} records ({})
{} запись ({}),{} record ({})
{} игр ({}),{} games ({})
{} игра ({}),{} spel ({})
{} игры ({}),{} spellen ({})
{} сохранение,{} savegame
{} сохранений,{} savegames
{} сохранения,{} savegames
{} тикет,{} ticket
{} тикета,{} ticket
{} тикетов,{} tickets
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Gem: {:.1f} MB/s, Huidig: {:.1f} MB/s) Resterend {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/s"
{}: {} потерянная запись,{}: {} verloren record
{}: {} потерянных записей,{}: {} verloren records
{}: {} потерянных записи,{}: {} verloren records
     {:<10} Шифрование: {} Размер установки: {}{:>10},     {:<10} Encryptie: {} Installatiegrootte: {}{:>10}
 [НЕ МОГУ ОТКРЫТЬ ФАЙЛ], [KAN BESTAND NIET OPENEN]
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/s)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: overslaan {}/{} ({:.2f} MB/s)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nHerstellen van back-up mislukt\n\nDruk op A - afbreken, andere knop - doorgaan"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB van {}MB ({:.2f} MB/s)\x1b[0K\r
«У шадоков ситуация удовлетворительна.,"""Bij de Shadoks is de situatie bevredigend."
Ёмкость с завода   : {} mAh,Capaciteit af fabriek   : {} mAh
АВТО,AUTO
Аватар установлен,Avatar ingesteld
Август,Augustus
Австралия,Australië
Автозапуск FTP: ,FTP automatisch starten:
Автозапуск MTP,MTP automatisch starten
Автозапуск списка homebrew,Homebrew-lijst automatisch starten
Автоповтор кнопок при удержании,Knoppen automatisch herhalen bij ingedrukt houden
Автор   : ,Auteur  :
Агрументы для ярлыка,Argumenten voor snelkoppeling
Адрес FTP сервера: {},FTP-serveradres: {}
Адрес HTTP сервера: {},HTTP-serveradres: {}
 {:>5} часа, {:>5} uur
Альбом (0°),Liggend (0°)
Американский английский,Amerikaans Engels
Апрель,April
База этой игры не самодостаточна. Не забудьте установить обновление,De basis van dit spel is niet zelfstandig. Vergeet niet de update te installeren
Базовое хранилище: ,Basisopslag:
Бекапы,Back-ups
Бекапы сохранений ({}),Back-ups van savegames ({})
Британский английский,Brits Engels
 {:>5} часов, {:>5} uur
В альбоме найден {} объект,{} object gevonden in album
В альбоме найдено {} объекта,{} objecten gevonden in album
В альбоме найдено {} объектов,{} objecten gevonden in album
В альбоме отсутствуют объекты,Geen objecten in album
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,Noodzakelijke sleutels ontbreken in /switch/prod.keys.\n\nSommige functies zijn niet beschikbaar.\n\nHerstart in Hekate en gebruik Lockpick_RCM.bin payload\nom sleutels te dumpen van SysNAND.
ВНИМАНИЕ ,WAARSCHUWING
ВНИМАНИЕ! ,WAARSCHUWING!
ВНИМАНИЕ! Тайтл {:016X} не установлен,WAARSCHUWING! Titel {:016X} is niet geïnstalleerd
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),WAARSCHUWING! Geïnstalleerde versie ({}) komt niet overeen met de gewenste versie ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,FOUTEN GEVONDEN TIJDENS BESTANDSOVERDRACHT. INSTALLATIE AFGEBROKEN
 {} в чёрном списке., {} op zwarte lijst.
Введите URL сервера (HTTP или (S)FTP),Voer server-URL in (HTTP of (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Voer argumenten voor snelkoppeling in of laat leeg
Введите желаемый номер страницы,Voer het gewenste paginanummer in
Введите новое имя,Voer nieuwe naam in
Введите новое имя каталога,Voer nieuwe mapnaam in
Введите новое имя файла,Voer nieuwe bestandsnaam in
Введите номер DLC,Voer DLC-nummer in
Версия  : ,Versie  :
Версия {} [v{}],Versie {} [v{}]
Версия атмосферы            : {}.{}.{},Atmosphere-versie            : {}.{}.{}
Версия прошивки         : {}.{}.{}-{}.{},Firmwareversie         : {}.{}.{}-{}.{}
Вместо пользователя {} использовать:,Gebruiken in plaats van gebruiker {}:
Внимание! ,Waarschuwing!
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,Waarschuwing!\nSommige bestanden waren vergrendeld en zijn overgeslagen.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Tijdens het parsen van\n\n{}\n\nis de volgende fout opgetreden:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Fouten tijdens het installeren van tickets. Controleer op ES sigpatches
Во время экспорта были ошибки,Fouten tijdens het exporteren
Возраст батареи                 : {}%,Batterijleeftijd                 : {}%
Возраст батареи                : {},Batterijleeftijd                : {}
Возраст батареи                : {}%,Batterijleeftijd                : {}%
 {} минута, {} minuut
Возрастной рейтинг,Leeftijdsclassificatie
Восстановить,Herstellen
Восстановить бекап...,Back-up herstellen...
Восстановить для...,Herstellen voor...
Восстановить как бекап сохранения,Herstellen als savegame-back-up
Восстановление бекапа,Back-up herstellen
Восстановление не удалось,Herstellen mislukt
Восстановление успешно,Herstellen geslaagd
Восстановление: {},Herstellen: {}
 {} минуты, {} minuten
Время гашения экрана в секундах,Schermdimtijd in seconden
